Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Region,State,City,Category,Sub-Category,Product Name,Quantity,Discount,Sales,Profit,Payment Mode
ORD-100000,2022-04-13,2022-04-15,Second Class,CUST-1312,Customer 281,Home Office,North,Kerala,Thiruvananthapuram,Office Supplies,Art,Art Item 14,5,0.2,1510.97,239.95,Net Banking
ORD-100001,2023-03-12,2023-03-19,Second Class,CUST-1159,Customer 370,Corporate,South,West Bengal,Kolkata,Furniture,Bookcases,Bookcases Item 11,6,0.2,51614.31,4374.26,COD
ORD-100002,2022-09-28,2022-10-02,Same Day,CUST-1470,Customer 264,Corporate,West,Delhi,New Delhi,Furniture,Furnishings,Furnishings Item 13,6,0.0,52777.62,4067.85,Credit Card
ORD-100003,2022-04-17,2022-04-23,First Class,CUST-1590,Customer 241,Home Office,South,West Bengal,Siliguri,Office Supplies,Labels,Labels Item 14,2,0.05,878.18,28.54,Debit Card
ORD-100004,2022-03-13,2022-03-17,Standard Class,CUST-1324,Customer 377,Consumer,East,Delhi,New Delhi,Technology,Copiers,Copiers Item 12,2,0.1,57528.82,2931.38,UPI
ORD-100005,2023-12-02,2023-12-09,Standard Class,CUST-1910,Customer 307,Consumer,North,Maharashtra,Pune,Furniture,Furnishings,Furnishings Item 6,5,0.05,9220.68,1326.15,Credit Card
ORD-100006,2022-01-21,2022-01-27,Standard Class,CUST-1928,Customer 316,Consumer,West,Tamil Nadu,Salem,Technology,Phones,Phones Item 7,5,0.0,217007.45,37640.7,UPI
ORD-100007,2023-09-07,2023-09-12,Same Day,CUST-1875,Customer 11,Corporate,South,West Bengal,Kolkata,Furniture,Chairs,Chairs Item 4,3,0.0,26049.6,2969.67,UPI
ORD-100008,2022-05-02,2022-05-06,Second Class,CUST-1100,Customer 304,Consumer,North,Rajasthan,Jaipur,Office Supplies,Labels,Labels Item 3,1,0.05,458.07,77.03,Debit Card
ORD-100009,2023-04-12,2023-04-14,First Class,CUST-1454,Customer 13,Corporate,West,Uttar Pradesh,Kanpur,Office Supplies,Storage,Storage Item 4,7,0.05,4922.02,971.01,UPI
ORD-100010,2022-08-03,2022-08-05,First Class,CUST-1992,Customer 100,Corporate,South,Uttar Pradesh,Kanpur,Furniture,Bookcases,Bookcases Item 13,2,0.1,18015.15,1822.98,COD
ORD-100011,2022-11-27,2022-12-01,Same Day,CUST-1939,Customer 149,Corporate,South,Tamil Nadu,Madurai,Technology,Machines,Machines Item 3,5,0.2,26314.96,3392.18,UPI
ORD-100012,2023-04-04,2023-04-11,Second Class,CUST-1649,Customer 53,Consumer,East,Rajasthan,Jaipur,Office Supplies,Envelopes,Envelopes Item 5,4,0.15,4558.76,152.09,UPI
ORD-100013,2022-03-29,2022-03-31,Same Day,CUST-1137,Customer 163,Home Office,North,Uttar Pradesh,Kanpur,Office Supplies,Binders,Binders Item 13,4,0.2,228.18,5.58,Debit Card
ORD-100014,2023-01-08,2023-01-13,Second Class,CUST-1187,Customer 346,Corporate,East,Uttar Pradesh,Noida,Technology,Machines,Machines Item 6,1,0.0,26983.36,7848.78,Debit Card
ORD-100015,2022-04-10,2022-04-11,Same Day,CUST-1692,Customer 170,Consumer,East,Tamil Nadu,Coimbatore,Furniture,Bookcases,Bookcases Item 9,6,0.0,25757.25,1800.38,COD
ORD-100016,2023-10-26,2023-11-02,Standard Class,CUST-1953,Customer 7,Home Office,East,West Bengal,Kolkata,Technology,Copiers,Copiers Item 12,3,0.2,29564.25,7192.55,Credit Card
ORD-100017,2022-05-11,2022-05-16,Same Day,CUST-1456,Customer 160,Consumer,East,Uttar Pradesh,Noida,Furniture,Bookcases,Bookcases Item 7,4,0.0,19853.92,1959.29,Credit Card
ORD-100018,2023-10-24,2023-10-30,Second Class,CUST-1156,Customer 98,Corporate,East,Telangana,Hyderabad,Technology,Accessories,Accessories Item 2,3,0.0,29147.17,6631.97,COD
ORD-100019,2022-11-05,2022-11-10,Same Day,CUST-1823,Customer 96,Consumer,South,Telangana,Hyderabad,Office Supplies,Envelopes,Envelopes Item 9,2,0.05,259.52,64.3,UPI
ORD-100020,2022-12-10,2022-12-17,Standard Class,CUST-1440,Customer 26,Home Office,East,Telangana,Hyderabad,Office Supplies,Storage,Storage Item 15,4,0.0,3455.5,645.81,UPI
